x,yi,pi
-2,2,2
-1.99,1.99,1.99571
-1.98,1.98,1.99119
-1.97,1.97,1.98644
-1.96,1.96,1.98146
-1.95,1.95,1.97625
-1.94,1.94,1.97083
-1.93,1.93,1.96518
-1.92,1.92,1.95933
-1.91,1.91,1.95327
-1.9,1.9,1.947
-1.89,1.89,1.94053
-1.88,1.88,1.93386
-1.87,1.87,1.927
-1.86,1.86,1.91994
-1.85,1.85,1.9127
-1.84,1.84,1.90528
-1.83,1.83,1.89768
-1.82,1.82,1.8899
-1.81,1.81,1.88195
-1.8,1.8,1.87383
-1.79,1.79,1.86554
-1.78,1.78,1.8571
-1.77,1.77,1.84849
-1.76,1.76,1.83973
-1.75,1.75,1.83082
-1.74,1.74,1.82176
-1.73,1.73,1.81255
-1.72,1.72,1.80321
-1.71,1.71,1.79372
-1.7,1.7,1.78411
-1.69,1.69,1.77436
-1.68,1.68,1.76448
-1.67,1.67,1.75448
-1.66,1.66,1.74436
-1.65,1.65,1.73411
-1.64,1.64,1.72376
-1.63,1.63,1.71329
-1.62,1.62,1.70271
-1.61,1.61,1.69203
-1.6,1.6,1.68125
-1.59,1.59,1.67037
-1.58,1.58,1.65939
-1.57,1.57,1.64832
-1.56,1.56,1.63716
-1.55,1.55,1.62591
-1.54,1.54,1.61458
-1.53,1.53,1.60317
-1.52,1.52,1.59168
-1.51,1.51,1.58012
-1.5,1.5,1.56848
-1.49,1.49,1.55678
-1.48,1.48,1.54501
-1.47,1.47,1.53318
-1.46,1.46,1.52128
-1.45,1.45,1.50933
-1.44,1.44,1.49733
-1.43,1.43,1.48527
-1.42,1.42,1.47317
-1.41,1.41,1.46102
-1.4,1.4,1.44883
-1.39,1.39,1.43659
-1.38,1.38,1.42432
-1.37,1.37,1.41202
-1.36,1.36,1.39968
-1.35,1.35,1.38731
-1.34,1.34,1.37492
-1.33,1.33,1.3625
-1.32,1.32,1.35006
-1.31,1.31,1.3376
-1.3,1.3,1.32512
-1.29,1.29,1.31263
-1.28,1.28,1.30013
-1.27,1.27,1.28762
-1.26,1.26,1.2751
-1.25,1.25,1.26258
-1.24,1.24,1.25006
-1.23,1.23,1.23754
-1.22,1.22,1.22502
-1.21,1.21,1.2125
-1.2,1.2,1.2
-1.19,1.19,1.18751
-1.18,1.18,1.17502
-1.17,1.17,1.16256
-1.16,1.16,1.15011
-1.15,1.15,1.13768
-1.14,1.14,1.12527
-1.13,1.13,1.11289
-1.12,1.12,1.10053
-1.11,1.11,1.0882
-1.1,1.1,1.0759
-1.09,1.09,1.06364
-1.08,1.08,1.05141
-1.07,1.07,1.03922
-1.06,1.06,1.02706
-1.05,1.05,1.01495
-1.04,1.04,1.00288
-1.03,1.03,0.990856
-1.02,1.02,0.97888
-1.01,1.01,0.966953
-1,1,0.955078
-0.99,0.99,0.943256
-0.98,0.98,0.93149
-0.97,0.97,0.91978
-0.96,0.96,0.90813
-0.95,0.95,0.896541
-0.94,0.94,0.885015
-0.93,0.93,0.873553
-0.92,0.92,0.862158
-0.91,0.91,0.850832
-0.9,0.9,0.839575
-0.89,0.89,0.828391
-0.88,0.88,0.81728
-0.87,0.87,0.806245
-0.86,0.86,0.795286
-0.85,0.85,0.784407
-0.84,0.84,0.773608
-0.83,0.83,0.762891
-0.82,0.82,0.752258
-0.81,0.81,0.741711
-0.8,0.8,0.73125
-0.79,0.79,0.720878
-0.78,0.78,0.710596
-0.77,0.77,0.700405
-0.76,0.76,0.690308
-0.75,0.75,0.680305
-0.74,0.74,0.670399
-0.73,0.73,0.66059
-0.72,0.72,0.65088
-0.71,0.71,0.64127
-0.7,0.7,0.631763
-0.69,0.69,0.622358
-0.68,0.68,0.613058
-0.67,0.67,0.603864
-0.66,0.66,0.594777
-0.65,0.65,0.585799
-0.64,0.64,0.57693
-0.63,0.63,0.568172
-0.62,0.62,0.559527
-0.61,0.61,0.550995
-0.6,0.6,0.542578
-0.59,0.59,0.534277
-0.58,0.58,0.526093
-0.57,0.57,0.518027
-0.56,0.56,0.51008
-0.55,0.55,0.502254
-0.54,0.54,0.494549
-0.53,0.53,0.486967
-0.52,0.52,0.479508
-0.51,0.51,0.472174
-0.5,0.5,0.464966
-0.49,0.49,0.457884
-0.48,0.48,0.45093
-0.47,0.47,0.444104
-0.46,0.46,0.437408
-0.45,0.45,0.430843
-0.44,0.44,0.424408
-0.43,0.43,0.418106
-0.42,0.42,0.411936
-0.41,0.41,0.405901
-0.4,0.4,0.4
-0.39,0.39,0.394235
-0.38,0.38,0.388605
-0.37,0.37,0.383113
-0.36,0.36,0.377758
-0.35,0.35,0.372542
-0.34,0.34,0.367465
-0.33,0.33,0.362527
-0.32,0.32,0.35773
-0.31,0.31,0.353074
-0.3,0.3,0.34856
-0.29,0.29,0.344187
-0.28,0.28,0.339958
-0.27,0.27,0.335872
-0.26,0.26,0.33193
-0.25,0.25,0.328133
-0.24,0.24,0.32448
-0.23,0.23,0.320973
-0.22,0.22,0.317611
-0.21,0.21,0.314396
-0.2,0.2,0.311328
-0.19,0.19,0.308407
-0.18,0.18,0.305633
-0.17,0.17,0.303008
-0.16,0.16,0.30053
-0.15,0.15,0.298201
-0.14,0.14,0.296021
-0.13,0.13,0.29399
-0.12,0.12,0.292108
-0.11,0.11,0.290376
-0.1,0.1,0.288794
-0.09,0.09,0.287362
-0.08,0.08,0.28608
-0.07,0.07,0.284949
-0.06,0.06,0.283968
-0.05,0.05,0.283138
-0.04,0.04,0.282458
-0.03,0.03,0.28193
-0.02,0.02,0.281552
-0.01,0.01,0.281326
1.64105e-15,1.64105e-15,0.28125
0.01,0.01,0.281326
0.02,0.02,0.281552
0.03,0.03,0.28193
0.04,0.04,0.282458
0.05,0.05,0.283138
0.06,0.06,0.283968
0.07,0.07,0.284949
0.08,0.08,0.28608
0.09,0.09,0.287362
0.1,0.1,0.288794
0.11,0.11,0.290376
0.12,0.12,0.292108
0.13,0.13,0.29399
0.14,0.14,0.296021
0.15,0.15,0.298201
0.16,0.16,0.30053
0.17,0.17,0.303008
0.18,0.18,0.305633
0.19,0.19,0.308407
0.2,0.2,0.311328
0.21,0.21,0.314396
0.22,0.22,0.317611
0.23,0.23,0.320973
0.24,0.24,0.32448
0.25,0.25,0.328133
0.26,0.26,0.33193
0.27,0.27,0.335872
0.28,0.28,0.339958
0.29,0.29,0.344187
0.3,0.3,0.34856
0.31,0.31,0.353074
0.32,0.32,0.35773
0.33,0.33,0.362527
0.34,0.34,0.367465
0.35,0.35,0.372542
0.36,0.36,0.377758
0.37,0.37,0.383113
0.38,0.38,0.388605
0.39,0.39,0.394235
0.4,0.4,0.4
0.41,0.41,0.405901
0.42,0.42,0.411936
0.43,0.43,0.418106
0.44,0.44,0.424408
0.45,0.45,0.430843
0.46,0.46,0.437408
0.47,0.47,0.444104
0.48,0.48,0.45093
0.49,0.49,0.457884
0.5,0.5,0.464966
0.51,0.51,0.472174
0.52,0.52,0.479508
0.53,0.53,0.486967
0.54,0.54,0.494549
0.55,0.55,0.502254
0.56,0.56,0.51008
0.57,0.57,0.518027
0.58,0.58,0.526093
0.59,0.59,0.534277
0.6,0.6,0.542578
0.61,0.61,0.550995
0.62,0.62,0.559527
0.63,0.63,0.568172
0.64,0.64,0.57693
0.65,0.65,0.585799
0.66,0.66,0.594777
0.67,0.67,0.603864
0.68,0.68,0.613058
0.69,0.69,0.622358
0.7,0.7,0.631763
0.71,0.71,0.64127
0.72,0.72,0.65088
0.73,0.73,0.66059
0.74,0.74,0.670399
0.75,0.75,0.680305
0.76,0.76,0.690308
0.77,0.77,0.700405
0.78,0.78,0.710596
0.79,0.79,0.720878
0.8,0.8,0.73125
0.81,0.81,0.741711
0.82,0.82,0.752258
0.83,0.83,0.762891
0.84,0.84,0.773608
0.85,0.85,0.784407
0.86,0.86,0.795286
0.87,0.87,0.806245
0.88,0.88,0.81728
0.89,0.89,0.828391
0.9,0.9,0.839575
0.91,0.91,0.850832
0.92,0.92,0.862158
0.93,0.93,0.873553
0.94,0.94,0.885015
0.95,0.95,0.896541
0.96,0.96,0.90813
0.97,0.97,0.91978
0.98,0.98,0.93149
0.99,0.99,0.943256
1,1,0.955078
1.01,1.01,0.966953
1.02,1.02,0.97888
1.03,1.03,0.990856
1.04,1.04,1.00288
1.05,1.05,1.01495
1.06,1.06,1.02706
1.07,1.07,1.03922
1.08,1.08,1.05141
1.09,1.09,1.06364
1.1,1.1,1.0759
1.11,1.11,1.0882
1.12,1.12,1.10053
1.13,1.13,1.11289
1.14,1.14,1.12527
1.15,1.15,1.13768
1.16,1.16,1.15011
1.17,1.17,1.16256
1.18,1.18,1.17502
1.19,1.19,1.18751
1.2,1.2,1.2
1.21,1.21,1.2125
1.22,1.22,1.22502
1.23,1.23,1.23754
1.24,1.24,1.25006
1.25,1.25,1.26258
1.26,1.26,1.2751
1.27,1.27,1.28762
1.28,1.28,1.30013
1.29,1.29,1.31263
1.3,1.3,1.32512
1.31,1.31,1.3376
1.32,1.32,1.35006
1.33,1.33,1.3625
1.34,1.34,1.37492
1.35,1.35,1.38731
1.36,1.36,1.39968
1.37,1.37,1.41202
1.38,1.38,1.42432
1.39,1.39,1.43659
1.4,1.4,1.44883
1.41,1.41,1.46102
1.42,1.42,1.47317
1.43,1.43,1.48527
1.44,1.44,1.49733
1.45,1.45,1.50933
1.46,1.46,1.52128
1.47,1.47,1.53318
1.48,1.48,1.54501
1.49,1.49,1.55678
1.5,1.5,1.56848
1.51,1.51,1.58012
1.52,1.52,1.59168
1.53,1.53,1.60317
1.54,1.54,1.61458
1.55,1.55,1.62591
1.56,1.56,1.63716
1.57,1.57,1.64832
1.58,1.58,1.65939
1.59,1.59,1.67037
1.6,1.6,1.68125
1.61,1.61,1.69203
1.62,1.62,1.70271
1.63,1.63,1.71329
1.64,1.64,1.72376
1.65,1.65,1.73411
1.66,1.66,1.74436
1.67,1.67,1.75448
1.68,1.68,1.76448
1.69,1.69,1.77436
1.7,1.7,1.78411
1.71,1.71,1.79372
1.72,1.72,1.80321
1.73,1.73,1.81255
1.74,1.74,1.82176
1.75,1.75,1.83082
1.76,1.76,1.83973
1.77,1.77,1.84849
1.78,1.78,1.8571
1.79,1.79,1.86554
1.8,1.8,1.87383
1.81,1.81,1.88195
1.82,1.82,1.8899
1.83,1.83,1.89768
1.84,1.84,1.90528
1.85,1.85,1.9127
1.86,1.86,1.91994
1.87,1.87,1.927
1.88,1.88,1.93386
1.89,1.89,1.94053
1.9,1.9,1.947
1.91,1.91,1.95327
1.92,1.92,1.95933
1.93,1.93,1.96518
1.94,1.94,1.97083
1.95,1.95,1.97625
1.96,1.96,1.98146
1.97,1.97,1.98644
1.98,1.98,1.99119
1.99,1.99,1.99571
